speno,standardlength_cm,curvilinearlength_cm,standardsupinelength_cm,hipgirth_cm,maxgirth_cm,axillarygirth_cm,mass_kg,blubberthickness_cm,blubberdepthrightlateralhipa,blubberdepthrightlateralhipb,blubberdepthdorsalhipa_cm,blubberdepthdorsalhipb_cm,blubberdepthdorsalaxillarya,blubberdepthdorsalaxillaryb,blubberdepthlateralaxillarya,blubberdepthlateralaxillaryb,condition,morphometriccomments
AL-417-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL-418-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-419-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-420-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-421-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-001-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-002-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-003-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-004-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-005-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-006-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-007-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-008-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-009-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-010-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-011-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-422-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-012-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-013-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-014-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-015-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-016-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-017-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-018-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV-019-96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-415-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-416-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-423-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-424-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-425-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-426-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-427-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL2016_9002,142,158,NA,NA,NA,126,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL2016_9003,145,167,NA,NA,NA,128,110.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL2016_9001,129,141,NA,NA,NA,97.5,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL2017_9001,101,108,NA,NA,NA,80,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL2017_9002,106,114,NA,NA,NA,88,40.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL2017_9003,101,111,NA,NA,NA,85,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2018_1001,131,135,NA,68,96,93,44.6,NA,2.33,NA,2.35,NA,2.35,NA,2.99,NA,NA,NA
PL2018_1003,78,87,NA,53,69,68,15.4,NA,2.29,NA,1.98,NA,1.54,NA,2.22,NA,NA,NA
PL2018_1004,84,89,NA,61,69,65,15.8,NA,2.08,NA,2.04,NA,1.94,NA,2.57,NA,NA,NA
AL-418-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-428-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PV2000_426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EB2005_5996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-429-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-430-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-431-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-432-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-433-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-434-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-435-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-353-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-436-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-437-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-438-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-439-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-440-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-441-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-442-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-443-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL2018_1012,82,86,NA,60,73,70,17,NA,2.47,NA,1.76,NA,1.84,NA,2.31,NA,NA,accidentally labeled images PV2018_1012 instead of PL
PL2018_1023,81,91,NA,49,66,65,17.6,NA,1.76,NA,1.52,NA,1.62,NA,1.9,NA,NA,NA
PL2018_1010,83,85,NA,44,63,62,12,NA,1.32,NA,1.11,NA,1.44,NA,1.4,NA,NA,NA
PL2018_1002,152,162.5,NA,83,112.5,110.5,83.2,NA,3.05,NA,2.55,NA,2.43,NA,3.52,NA,NA,NA
PL2018_1017,85,89,NA,58,65,60,18.6,NA,1.98,NA,1.69,NA,1.7,NA,2.09,NA,NA,NA
PL2018_1029,78,80,NA,53,65.5,65,13.4,NA,1.98,NA,1.84,NA,1.98,NA,2.31,NA,NA,NA
PL2018_1019,78,83,NA,58,67,67,12.2,NA,1.86,NA,1.84,NA,1.6,NA,1.82,NA,NA,NA
PL2018_1005,86,93,NA,50,68,67,13.6,NA,1.62,NA,1.31,NA,1.44,NA,1.5,NA,NA,NA
PL2018_1006,85,89,NA,53,67,65,16.2,NA,1.66,NA,1.64,NA,1.88,NA,1.76,NA,NA,NA
PL2018_1007,85,89,NA,57.5,74,73,17,NA,2,NA,1.6,NA,1.46,NA,1.8,NA,NA,NA
PL2018_1008,91,95,NA,53,68,67,17.8,NA,2,NA,1.72,NA,1.78,NA,1.76,NA,NA,NA
PL2018_1013,86,91,NA,45,61,58,13.8,NA,1.6,NA,1.27,NA,1.54,NA,1.6,NA,NA,NA
PL2018_1015,80,90,NA,60,71,71,17.8,NA,1.99,NA,1.58,NA,1.86,NA,2.37,NA,NA,NA
PL2018_1020,79,85,NA,46,62,61,12.8,NA,1.78,NA,1.48,NA,1.6,NA,1.76,NA,NA,NA
PL2018_1024,88,90,NA,46,60,58,14.8,NA,2,NA,1.44,NA,1.74,NA,1.92,NA,NA,NA
PL2018_1028,82,90,NA,61,74,73,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ultrasound battery died
